sta  stla  stlo  az  dist  pga  pgv
W231 23.046050 120.445683 233.053 110.839 3.404074 0.175267
W232 23.044617 120.470283 232.183 108.942 3.059588 0.139745
W233 23.074167 120.519383 231.887 102.964 7.465445 0.307386
W234 23.121033 120.458983 236.213 104.884 2.818045 0.166800
W235 23.173350 120.595267 234.289 90.129 2.742729 0.210486
W236 23.174500 120.485583 238.159 99.3649 2.678239 0.164887
W237 23.280578 120.467383 244.748 95.3156 2.566657 0.131650
W238 23.064300 120.389100 235.621 114.342 2.335916 0.158833
W239 23.306500 120.316400 249.652 108.399 2.271111 0.248594
W23A 23.122500 120.393000 238.251 110.457 1.978476 0.164288
W23B 23.025000 120.348700 235.041 120.231 3.535820 0.342304
W23D 23.366500 120.366200 252.146 101.379 3.113774 0.410216
W23E 24.704300 121.183400 353.74 117.482 1.185591 0.081482
W23F 24.677400 121.208800 354.857 114.26 2.502100 0.128771
W240 24.675433 121.059717 347.428 116.391 1.920885 0.133168
W241 24.631533 121.118058 349.865 110.452 3.660395 0.585113
W243 24.767150 121.057600 348.344 126.366 1.266441 0.156619
W244 24.739917 121.021717 346.421 124.223 1.686438 0.193509
W245 24.686917 120.988267 344.175 119.413 2.526443 0.215198
W246 24.735683 121.088383 349.44 122.342 2.456729 0.179458
W247 24.575233 121.105417 348.569 104.568 2.982269 0.076949
W248 24.773950 121.082533 349.531 126.617 1.433215 0.147017
W249 24.799267 120.999417 346.144 131.146 1.252232 0.198673
